城市规模为10的一个图的矩阵如下所示：
0	13	16	17	2	12	13	16	7	3	
13	0	12	15	19	7	3	10	9	19	
16	12	0	17	8	19	2	14	14	16	
17	15	17	0	16	11	13	5	7	1	
2	19	8	16	0	12	8	19	7	20	
12	7	19	11	12	0	8	13	13	18	
13	3	2	13	8	8	0	9	16	11	
16	10	14	5	19	13	9	0	8	7	
7	9	14	7	7	13	16	8	0	4	
3	19	16	1	20	18	11	7	4	0	

所有城市(0,1,...n-1)的全排列所构成的路径及其代价如下所示：
0 1 2 3 4 5 6 7 8 9 w:102
0 1 2 3 4 5 6 7 9 8 w:105
0 1 2 3 4 5 6 8 7 9 w:112
0 1 2 3 4 5 6 8 9 7 w:121
0 1 2 3 4 5 6 9 8 7 w:117
0 1 2 3 4 5 6 9 7 8 w:111
0 1 2 3 4 5 7 6 8 9 w:115
0 1 2 3 4 5 7 6 9 8 w:114
0 1 2 3 4 5 7 8 6 9 w:121
0 1 2 3 4 5 7 8 9 6 w:119
0 1 2 3 4 5 7 9 8 6 w:123
0 1 2 3 4 5 7 9 6 8 w:124
0 1 2 3 4 5 8 7 6 9 w:114
0 1 2 3 4 5 8 7 9 6 w:122
0 1 2 3 4 5 8 6 7 9 w:118
0 1 2 3 4 5 8 6 9 7 w:133
0 1 2 3 4 5 8 9 6 7 w:123
0 1 2 3 4 5 8 9 7 6 w:116
0 1 2 3 4 5 9 7 8 6 w:132
0 1 2 3 4 5 9 7 6 8 w:127
0 1 2 3 4 5 9 8 7 6 w:122
0 1 2 3 4 5 9 8 6 7 w:133
0 1 2 3 4 5 9 6 8 7 w:139
0 1 2 3 4 5 9 6 7 8 w:123
0 1 2 3 4 6 5 7 8 9 w:102
0 1 2 3 4 6 5 7 9 8 w:105
0 1 2 3 4 6 5 8 7 9 w:105
0 1 2 3 4 6 5 8 9 7 w:114
0 1 2 3 4 6 5 9 8 7 w:120
0 1 2 3 4 6 5 9 7 8 w:114
0 1 2 3 4 6 7 5 8 9 w:108
0 1 2 3 4 6 7 5 9 8 w:117
0 1 2 3 4 6 7 8 5 9 w:117
0 1 2 3 4 6 7 8 9 5 w:117
0 1 2 3 4 6 7 9 8 5 w:111
0 1 2 3 4 6 7 9 5 8 w:120
0 1 2 3 4 6 8 7 5 9 w:124
0 1 2 3 4 6 8 7 9 5 w:127
0 1 2 3 4 6 8 5 7 9 w:118
0 1 2 3 4 6 8 5 9 7 w:136
0 1 2 3 4 6 8 9 5 7 w:133
0 1 2 3 4 6 8 9 7 5 w:118
0 1 2 3 4 6 9 7 8 5 w:117
0 1 2 3 4 6 9 7 5 8 w:117
0 1 2 3 4 6 9 8 7 5 w:114
0 1 2 3 4 6 9 8 5 7 w:123
0 1 2 3 4 6 9 5 8 7 w:132
0 1 2 3 4 6 9 5 7 8 w:123
0 1 2 3 4 7 6 5 8 9 w:114
0 1 2 3 4 7 6 5 9 8 w:123
0 1 2 3 4 7 6 8 5 9 w:136
0 1 2 3 4 7 6 8 9 5 w:136
0 1 2 3 4 7 6 9 8 5 w:126
0 1 2 3 4 7 6 9 5 8 w:135
0 1 2 3 4 7 5 6 8 9 w:121
0 1 2 3 4 7 5 6 9 8 w:120
0 1 2 3 4 7 5 8 6 9 w:133
0 1 2 3 4 7 5 8 9 6 w:131
0 1 2 3 4 7 5 9 8 6 w:141
0 1 2 3 4 7 5 9 6 8 w:142
0 1 2 3 4 7 8 5 6 9 w:120
0 1 2 3 4 7 8 5 9 6 w:140
0 1 2 3 4 7 8 6 5 9 w:130
0 1 2 3 4 7 8 6 9 5 w:142
0 1 2 3 4 7 8 9 6 5 w:120
0 1 2 3 4 7 8 9 5 6 w:128
0 1 2 3 4 7 9 5 8 6 w:144
0 1 2 3 4 7 9 5 6 8 w:133
0 1 2 3 4 7 9 8 5 6 w:122
0 1 2 3 4 7 9 8 6 5 w:124
0 1 2 3 4 7 9 6 8 5 w:136
0 1 2 3 4 7 9 6 5 8 w:123
0 1 2 3 4 8 6 7 5 9 w:124
0 1 2 3 4 8 6 7 9 5 w:127
0 1 2 3 4 8 6 5 7 9 w:112
0 1 2 3 4 8 6 5 9 7 w:130
0 1 2 3 4 8 6 9 5 7 w:139
0 1 2 3 4 8 6 9 7 5 w:124
0 1 2 3 4 8 7 6 5 9 w:111
0 1 2 3 4 8 7 6 9 5 w:123
0 1 2 3 4 8 7 5 6 9 w:108
0 1 2 3 4 8 7 5 9 6 w:128
0 1 2 3 4 8 7 9 5 6 w:119
0 1 2 3 4 8 7 9 6 5 w:111
0 1 2 3 4 8 5 7 6 9 w:114
0 1 2 3 4 8 5 7 9 6 w:122
0 1 2 3 4 8 5 6 7 9 w:105
0 1 2 3 4 8 5 6 9 7 w:120
0 1 2 3 4 8 5 9 6 7 w:132
0 1 2 3 4 8 5 9 7 6 w:125
0 1 2 3 4 8 9 7 5 6 w:110
0 1 2 3 4 8 9 7 6 5 w:105
0 1 2 3 4 8 9 5 7 6 w:122
0 1 2 3 4 8 9 5 6 7 w:120
0 1 2 3 4 8 9 6 5 7 w:117
0 1 2 3 4 8 9 6 7 5 w:114
0 1 2 3 4 9 6 7 8 5 w:131
0 1 2 3 4 9 6 7 5 8 w:131
0 1 2 3 4 9 6 8 7 5 w:138
0 1 2 3 4 9 6 8 5 7 w:147
0 1 2 3 4 9 6 5 8 7 w:134
0 1 2 3 4 9 6 5 7 8 w:125
0 1 2 3 4 9 7 6 8 5 w:135
0 1 2 3 4 9 7 6 5 8 w:122
0 1 2 3 4 9 7 8 6 5 w:129
0 1 2 3 4 9 7 8 5 6 w:127
0 1 2 3 4 9 7 5 8 6 w:140
0 1 2 3 4 9 7 5 6 8 w:129
0 1 2 3 4 9 8 7 6 5 w:119
0 1 2 3 4 9 8 7 5 6 w:124
0 1 2 3 4 9 8 6 7 5 w:132
0 1 2 3 4 9 8 6 5 7 w:135
0 1 2 3 4 9 8 5 6 7 w:128
0 1 2 3 4 9 8 5 7 6 w:130
0 1 2 3 4 9 5 7 8 6 w:146
0 1 2 3 4 9 5 7 6 8 w:141
0 1 2 3 4 9 5 8 7 6 w:139
0 1 2 3 4 9 5 8 6 7 w:150
0 1 2 3 4 9 5 6 8 7 w:144
0 1 2 3 4 9 5 6 7 8 w:128
0 1 2 3 5 4 6 7 8 9 w:97
0 1 2 3 5 4 6 7 9 8 w:100
0 1 2 3 5 4 6 8 7 9 w:107
0 1 2 3 5 4 6 8 9 7 w:116
0 1 2 3 5 4 6 9 8 7 w:112
0 1 2 3 5 4 6 9 7 8 w:106
0 1 2 3 5 4 7 6 8 9 w:116
0 1 2 3 5 4 7 6 9 8 w:115
0 1 2 3 5 4 7 8 6 9 w:122
0 1 2 3 5 4 7 8 9 6 w:120
0 1 2 3 5 4 7 9 8 6 w:124
0 1 2 3 5 4 7 9 6 8 w:125
0 1 2 3 5 4 8 7 6 9 w:103
0 1 2 3 5 4 8 7 9 6 w:111
0 1 2 3 5 4 8 6 7 9 w:107
0 1 2 3 5 4 8 6 9 7 w:122
0 1 2 3 5 4 8 9 6 7 w:112
0 1 2 3 5 4 8 9 7 6 w:105
0 1 2 3 5 4 9 7 8 6 w:129
0 1 2 3 5 4 9 7 6 8 w:124
0 1 2 3 5 4 9 8 7 6 w:119
0 1 2 3 5 4 9 8 6 7 w:130
0 1 2 3 5 4 9 6 8 7 w:136
0 1 2 3 5 4 9 6 7 8 w:120
0 1 2 3 5 6 4 7 8 9 w:103
0 1 2 3 5 6 4 7 9 8 w:106
0 1 2 3 5 6 4 8 7 9 w:94
0 1 2 3 5 6 4 8 9 7 w:103
0 1 2 3 5 6 4 9 8 7 w:117
0 1 2 3 5 6 4 9 7 8 w:111
0 1 2 3 5 6 7 4 8 9 w:103
0 1 2 3 5 6 7 4 9 8 w:120
0 1 2 3 5 6 7 8 4 9 w:108
0 1 2 3 5 6 7 8 9 4 w:104
0 1 2 3 5 6 7 9 8 4 w:90
0 1 2 3 5 6 7 9 4 8 w:111
0 1 2 3 5 6 8 7 4 9 w:127
0 1 2 3 5 6 8 7 9 4 w:114
0 1 2 3 5 6 8 4 7 9 w:113
0 1 2 3 5 6 8 4 9 7 w:127
0 1 2 3 5 6 8 9 4 7 w:136
0 1 2 3 5 6 8 9 7 4 w:109
0 1 2 3 5 6 9 7 8 4 w:96
0 1 2 3 5 6 9 7 4 8 w:112
0 1 2 3 5 6 9 8 7 4 w:105
0 1 2 3 5 6 9 8 4 7 w:118
0 1 2 3 5 6 9 4 8 7 w:123
0 1 2 3 5 6 9 4 7 8 w:126
0 1 2 3 5 7 6 4 8 9 w:97
0 1 2 3 5 7 6 4 9 8 w:114
0 1 2 3 5 7 6 8 4 9 w:121
0 1 2 3 5 7 6 8 9 4 w:117
0 1 2 3 5 7 6 9 8 4 w:99
0 1 2 3 5 7 6 9 4 8 w:120
0 1 2 3 5 7 4 6 8 9 w:116
0 1 2 3 5 7 4 6 9 8 w:115
0 1 2 3 5 7 4 8 6 9 w:122
0 1 2 3 5 7 4 8 9 6 w:120
0 1 2 3 5 7 4 9 8 6 w:138
0 1 2 3 5 7 4 9 6 8 w:139
0 1 2 3 5 7 8 4 6 9 w:103
0 1 2 3 5 7 8 4 9 6 w:125
0 1 2 3 5 7 8 6 4 9 w:121
0 1 2 3 5 7 8 6 9 4 w:123
0 1 2 3 5 7 8 9 6 4 w:99
0 1 2 3 5 7 8 9 4 6 w:119
0 1 2 3 5 7 9 4 8 6 w:129
0 1 2 3 5 7 9 4 6 8 w:124
0 1 2 3 5 7 9 8 4 6 w:105
0 1 2 3 5 7 9 8 6 4 w:103
0 1 2 3 5 7 9 6 8 4 w:109
0 1 2 3 5 7 9 6 4 8 w:106
0 1 2 3 5 8 6 7 4 9 w:133
0 1 2 3 5 8 6 7 9 4 w:120
0 1 2 3 5 8 6 4 7 9 w:119
0 1 2 3 5 8 6 4 9 7 w:133
0 1 2 3 5 8 6 9 4 7 w:148
0 1 2 3 5 8 6 9 7 4 w:121
0 1 2 3 5 8 7 6 4 9 w:114
0 1 2 3 5 8 7 6 9 4 w:116
0 1 2 3 5 8 7 4 6 9 w:115
0 1 2 3 5 8 7 4 9 6 w:137
0 1 2 3 5 8 7 9 4 6 w:122
0 1 2 3 5 8 7 9 6 4 w:102
0 1 2 3 5 8 4 7 6 9 w:115
0 1 2 3 5 8 4 7 9 6 w:123
0 1 2 3 5 8 4 6 7 9 w:100
0 1 2 3 5 8 4 6 9 7 w:115
0 1 2 3 5 8 4 9 6 7 w:129
0 1 2 3 5 8 4 9 7 6 w:122
0 1 2 3 5 8 9 7 4 6 w:117
0 1 2 3 5 8 9 7 6 4 w:96
0 1 2 3 5 8 9 4 7 6 w:131
0 1 2 3 5 8 9 4 6 7 w:123
0 1 2 3 5 8 9 6 4 7 w:124
0 1 2 3 5 8 9 6 7 4 w:111
0 1 2 3 5 9 6 7 8 4 w:108
0 1 2 3 5 9 6 7 4 8 w:124
0 1 2 3 5 9 6 8 7 4 w:127
0 1 2 3 5 9 6 8 4 7 w:140
0 1 2 3 5 9 6 4 8 7 w:121
0 1 2 3 5 9 6 4 7 8 w:124
0 1 2 3 5 9 7 6 8 4 w:112
0 1 2 3 5 9 7 6 4 8 w:109
0 1 2 3 5 9 7 8 6 4 w:112
0 1 2 3 5 9 7 8 4 6 w:114
0 1 2 3 5 9 7 4 8 6 w:133
0 1 2 3 5 9 7 4 6 8 w:128
0 1 2 3 5 9 8 7 6 4 w:102
0 1 2 3 5 9 8 7 4 6 w:123
0 1 2 3 5 9 8 6 7 4 w:121
0 1 2 3 5 9 8 6 4 7 w:134
0 1 2 3 5 9 8 4 6 7 w:115
0 1 2 3 5 9 8 4 7 6 w:123
0 1 2 3 5 9 4 7 8 6 w:147
0 1 2 3 5 9 4 7 6 8 w:142
0 1 2 3 5 9 4 8 7 6 w:128
0 1 2 3 5 9 4 8 6 7 w:139
0 1 2 3 5 9 4 6 8 7 w:139
0 1 2 3 5 9 4 6 7 8 w:123
0 1 2 3 6 5 4 7 8 9 w:109
0 1 2 3 6 5 4 7 9 8 w:112
0 1 2 3 6 5 4 8 7 9 w:100
0 1 2 3 6 5 4 8 9 7 w:109
0 1 2 3 6 5 4 9 8 7 w:123
0 1 2 3 6 5 4 9 7 8 w:117
0 1 2 3 6 5 7 4 8 9 w:109
0 1 2 3 6 5 7 4 9 8 w:126
0 1 2 3 6 5 7 8 4 9 w:114
0 1 2 3 6 5 7 8 9 4 w:110
0 1 2 3 6 5 7 9 8 4 w:96
0 1 2 3 6 5 7 9 4 8 w:117
0 1 2 3 6 5 8 7 4 9 w:126
0 1 2 3 6 5 8 7 9 4 w:113
0 1 2 3 6 5 8 4 7 9 w:112
0 1 2 3 6 5 8 4 9 7 w:126
0 1 2 3 6 5 8 9 4 7 w:135
0 1 2 3 6 5 8 9 7 4 w:108
0 1 2 3 6 5 9 7 8 4 w:105
0 1 2 3 6 5 9 7 4 8 w:121
0 1 2 3 6 5 9 8 7 4 w:114
0 1 2 3 6 5 9 8 4 7 w:127
